Year,State,Item,Amount
2020,MT,Federal_Funds_Authorized,3133535
2020,MT,State_Matching_Required,626706.9
2020,MT,Total_Fed_Plus_State_Funds,3760241.39
2020,NC,Federal_Funds_Authorized,11677441
2020,NC,State_Matching_Required,2335488.17
2020,NC,Total_Fed_Plus_State_Funds,14012929
2020,ND,Federal_Funds_Authorized,3000000
2020,ND,State_Matching_Required,600000
2020,ND,Total_Fed_Plus_State_Funds,3600000
2020,NE,Federal_Funds_Authorized,3925332
2020,NE,State_Matching_Required,785066.35
2020,NE,Total_Fed_Plus_State_Funds,4710398.11
2020,NH,Federal_Funds_Authorized,3480379
2020,NH,State_Matching_Required,696075.88
2020,NH,Total_Fed_Plus_State_Funds,4176455.26
2020,NJ,Federal_Funds_Authorized,10983224
2020,NJ,State_Matching_Required,2196644.86
2020,NJ,Total_Fed_Plus_State_Funds,13179869.17
2020,NM,Federal_Funds_Authorized,4153661
2020,NM,State_Matching_Required,830732.29
2020,NM,Total_Fed_Plus_State_Funds,4984393.76
2020,NV,Federal_Funds_Authorized,4805564
2020,NV,State_Matching_Required,961112.81
2020,NV,Total_Fed_Plus_State_Funds,5766676.85
2020,NY,Federal_Funds_Authorized,21948209
2020,NY,State_Matching_Required,4389641.78
2020,NY,Total_Fed_Plus_State_Funds,26337850.7
2020,OH,Federal_Funds_Authorized,13721112
2020,OH,State_Matching_Required,2744222.42
2020,OH,Total_Fed_Plus_State_Funds,16465334.51
2020,OK,Federal_Funds_Authorized,5840818
2020,OK,State_Matching_Required,1168163.6
2020,OK,Total_Fed_Plus_State_Funds,7008981.61
2020,OR,Federal_Funds_Authorized,6029047
2020,OR,State_Matching_Required,1205809.49
2020,OR,Total_Fed_Plus_State_Funds,7234856.93
2020,PA,Federal_Funds_Authorized,15175567
2020,PA,State_Matching_Required,3035113.37
2020,PA,Total_Fed_Plus_State_Funds,18210680.24
2020,PR,Federal_Funds_Authorized,4141883
2020,PR,State_Matching_Required,828376.67
2020,PR,Total_Fed_Plus_State_Funds,4970260.03
2020,RI,Federal_Funds_Authorized,3216181
2020,RI,State_Matching_Required,643236.1
2020,RI,Total_Fed_Plus_State_Funds,3859416.61
2020,SC,Federal_Funds_Authorized,6793192
2020,SC,State_Matching_Required,1358638.31
2020,SC,Total_Fed_Plus_State_Funds,8151829.87
2020,SD,Federal_Funds_Authorized,3000000
2020,SD,State_Matching_Required,600000
2020,SD,Total_Fed_Plus_State_Funds,3600000
2020,TN,Federal_Funds_Authorized,8512001
2020,TN,State_Matching_Required,1702400.12
2020,TN,Total_Fed_Plus_State_Funds,10214400.71
2020,TX,Federal_Funds_Authorized,26197204
2020,TX,State_Matching_Required,5239440.72
2020,TX,Total_Fed_Plus_State_Funds,31436644.34
2020,UT,Federal_Funds_Authorized,4617665
2020,UT,State_Matching_Required,923533.03
2020,UT,Total_Fed_Plus_State_Funds,5541198.17
2020,VA,Federal_Funds_Authorized,10220313
2020,VA,State_Matching_Required,2044062.56
2020,VA,Total_Fed_Plus_State_Funds,12264375.35
2020,VI,Federal_Funds_Authorized,600000
2020,VI,State_Matching_Required,0
2020,VI,Total_Fed_Plus_State_Funds,600000
2020,VT,Federal_Funds_Authorized,3000000
2020,VT,State_Matching_Required,600000
2020,VT,Total_Fed_Plus_State_Funds,3600000
2020,WA,Federal_Funds_Authorized,8897954
2020,WA,State_Matching_Required,1779590.83
2020,WA,Total_Fed_Plus_State_Funds,10677544.98
2020,WI,Federal_Funds_Authorized,7850124
2020,WI,State_Matching_Required,1570024.8
2020,WI,Total_Fed_Plus_State_Funds,9420148.79
2020,WV,Federal_Funds_Authorized,4054986
2020,WV,State_Matching_Required,810997.28
2020,WV,Total_Fed_Plus_State_Funds,4865983.68
2020,WY,Federal_Funds_Authorized,3000000
2020,WY,State_Matching_Required,600000
2020,WY,Total_Fed_Plus_State_Funds,3600000
